Id_Anuncio_ShopCar,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados
1186860,C3 Hatch Exclusive Solaris 1.6 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-solaris-1-6-16v/10-11/1186860,Monyze Gabrielle de OLiveira,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,citro-n,17/06/2022
1185801,Fox Trendline 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-trendline-1-0-4p/08-09/1185801,Jefferson de Morais Cardoso,Campo Grande - MS,2008.0,2009.0,,Campo Grande , MS,,vw-volkswagen,17/06/2022
1190019,Corsa Sedan Classic LS 1.0,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/10-11/1190019,Bandi Car Ve�culos,"Av. Bandeirantes, 1878 - Taquarussu - Campo Grande / MS",2010.0,2011.0, MS,"Av. Bandeirantes, 1878 ", Taquarussu , Campo Grande ,gm-chevrolet,17/06/2022
1184975,Celta Spirit 1.0 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-spirit-1-0-4p/10-11/1184975,Bandi Car Ve�culos,"Av. Bandeirantes, 1878 - Taquarussu - Campo Grande / MS",2010.0,2011.0, MS,"Av. Bandeirantes, 1878 ", Taquarussu , Campo Grande ,gm-chevrolet,17/06/2022
1160596,Palio ELX 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-4p/09-10/1160596,Alternativa Ve�culos,"Av. Bandeirantes, 1663 - Taquarussu - Campo Grande / MS",2009.0,2010.0, MS,"Av. Bandeirantes, 1663 ", Taquarussu , Campo Grande ,fiat,17/06/2022
1189890,Fusca 1300 L,Branca,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/68-68/1189890,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",1968.0,1968.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,vw-volkswagen,17/06/2022
1185020,Omega CD 4.1,Preta,Gasolina,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/omega-cd-4-1/95-95/1185020,Marcos Vinicius Nunes Pinto,Campo Grande - MS,1995.0,1995.0,,Campo Grande , MS,,gm-chevrolet,17/06/2022
1172608,Sandero StepWay 1.6 16v,Preta,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-stepway-1-6-16v/09-09/1172608,Lolo Ve�culos,"Rodovia MS 156, 2595 - Ch�cara Sidelis - Dourados / MS",2009.0,2009.0, MS,"Rodovia MS 156, 2595 ", Ch�cara Sidelis , Dourados ,renault,17/06/2022
1190827,Palio 1.0 Fire 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/15-16/1190827,Pelegrinelli Ve�culos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS",2015.0,2016.0, MS,"Av. Rachid Neder, 696 ", Monte Castelo , Campo Grande ,fiat,17/06/2022
1185268,Fiesta Hatch SE 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-se-1-0-4p/13-14/1185268,Premium Motors,"Rua Jo�o Pedro de Souza,73 - Jardim Monte L�bano - Campo Grande / MS",2013.0,2014.0, MS,"Rua Jo�o Pedro de Souza,73 ", Jardim Monte L�bano , Campo Grande ,ford,17/06/2022
