,best_match_score,Modelo,Cor,Combustivel,KM,Preco,Link,Vendedor,Cidade,Ano_Fabricacao,Ano_Modelo,Estado_Anuncio,Endereco_Anuncio,Bairro_Anuncio,Cidade_Anuncio,Marca,Data_Extracao_Dados,Unnamed: 0,nome_marca,id_marca,nome_modelo,id_modelo
0,-0.10574262223077471,C3 Hatch Exclusive Solaris 1.6 16v A/T,Prata,Flex,,,https://www.shopcar.com.br/veiculos/citro-n/c3-hatch-exclusive-solaris-1-6-16v/10-11/1186860,Monyze Gabrielle de OLiveira,Campo Grande - MS,2010.0,2011.0,,Campo Grande , MS,,citro-n,17/06/2022,720,Citroën,13,C3 Exclus./Excl.Solaris 1.6 Flex 16V Mec,289
242,0.4169992533318494,Fox Trendline 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fox-trendline-1-0-4p/08-09/1185801,Jefferson de Morais Cardoso,Campo Grande - MS,2008.0,2009.0,,Campo Grande , MS,,vw-volkswagen,17/06/2022,5663,VW - VolksWagen,59,Fox Trendline 1.0 Flex 8V 5p,6939
389,0.05269823839891329,Corsa Sedan Classic LS 1.0,Prata,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/corsa-sedan-classic-ls-1-0/10-11/1190019,Bandi Car Veículos,"Av. Bandeirantes, 1878 - Taquarussu - Campo Grande / MS",2010.0,2011.0, MS,"Av. Bandeirantes, 1878 ", Taquarussu , Campo Grande ,gm-chevrolet,17/06/2022,2178,GM - Chevrolet,23,Corsa Sedan Sup./Classic 1.6 8v Aut/Mec,1053
507,0.2807256203916798,Celta Spirit 1.0 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/celta-spirit-1-0-4p/10-11/1184975,Bandi Car Veículos,"Av. Bandeirantes, 1878 - Taquarussu - Campo Grande / MS",2010.0,2011.0, MS,"Av. Bandeirantes, 1878 ", Taquarussu , Campo Grande ,gm-chevrolet,17/06/2022,2109,GM - Chevrolet,23,Celta Spirit 1.0 MPFI 8V FlexPower 3p,1001
656,0.4478048520899477,Palio ELX 1.0 4p.,Prata,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-elx-1-0-4p/09-10/1160596,Alternativa Veículos,"Av. Bandeirantes, 1663 - Taquarussu - Campo Grande / MS",2009.0,2010.0, MS,"Av. Bandeirantes, 1663 ", Taquarussu , Campo Grande ,fiat,17/06/2022,1246,Fiat,21,Palio ELX/ 500 1.0 4p,529
659,0.09591628920281497,Fusca 1300 L,Branca,Gasolina,,,https://www.shopcar.com.br/veiculos/vw-volkswagen/fusca-1300-l/68-68/1189890,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",1968.0,1968.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,vw-volkswagen,17/06/2022,5666,VW - VolksWagen,59,Fusca,2380
713,0.3421166218176775,Omega CD 4.1,Preta,Gasolina,,,https://www.shopcar.com.br/veiculos/gm-chevrolet/omega-cd-4-1/95-95/1185020,Marcos Vinicius Nunes Pinto,Campo Grande - MS,1995.0,1995.0,,Campo Grande , MS,,gm-chevrolet,17/06/2022,2274,GM - Chevrolet,23,Omega CD 4.1 / 3.0,1109
714,0.4858765142247032,Sandero StepWay 1.6 16v,Preta,Flex,,,https://www.shopcar.com.br/veiculos/renault/sandero-stepway-1-6-16v/09-09/1172608,Lolo Veículos,"Rodovia MS 156, 2595 - Chácara Sidelis - Dourados / MS",2009.0,2009.0, MS,"Rodovia MS 156, 2595 ", Chácara Sidelis , Dourados ,renault,17/06/2022,4977,Renault,48,SANDERO STEPWAY Flex 1.6 16V 5p,7851
722,0.33270123490027015,Palio 1.0 Fire 4p.,Branca,Flex,,,https://www.shopcar.com.br/veiculos/fiat/palio-1-0-fire-4p/15-16/1190827,Pelegrinelli Veículos,"Av. Rachid Neder, 696 - Monte Castelo - Campo Grande / MS",2015.0,2016.0, MS,"Av. Rachid Neder, 696 ", Monte Castelo , Campo Grande ,fiat,17/06/2022,1214,Fiat,21,Palio 1.0/ Trofeo 1.0 Fire/ Fire Flex 4p,506
730,0.21955905668260894,Fiesta Hatch SE 1.0 4p.,Preta,Flex,,,https://www.shopcar.com.br/veiculos/ford/fiesta-hatch-se-1-0-4p/13-14/1185268,Premium Motors,"Rua João Pedro de Souza,73 - Jardim Monte Líbano - Campo Grande / MS",2013.0,2014.0, MS,"Rua João Pedro de Souza,73 ", Jardim Monte Líbano , Campo Grande ,ford,17/06/2022,1744,Ford,22,Fiesta Sedan SE 1.0 8V Flex 4p,6429
